player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Chicharito,7,Sevilla,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Chicharito,12,Sevilla,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0
Chicharito,13,Sevilla,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
Chicharito,14,Sevilla,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Chicharito,18,Sevilla,4,0,2,0,0,6,66.67,0.0,33.33,0.0,0.0
Chicharito,19,Sevilla,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Chidozie Awaziem,12,Leganes,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Coke,7,Levante,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Coke,12,Levante,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Coke,13,Levante,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Coke,17,Levante,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Coke,18,Levante,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Cristian Rivera,13,Leganes,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Cristian Tello,8,Real Betis,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Cristian Tello,9,Real Betis,0,3,2,0,0,5,0.0,60.0,40.0,0.0,0.0
Cristian Tello,12,Real Betis,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Cristian Tello,13,Real Betis,0,0,0,1,1,2,0.0,0.0,0.0,50.0,50.0
Cristian Tello,14,Real Betis,2,1,2,0,0,5,40.0,20.0,40.0,0.0,0.0
Damián Suárez,8,Getafe,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Damián Suárez,12,Getafe,1,1,0,1,0,3,33.33,33.33,0.0,33.33,0.0
Damián Suárez,19,Getafe,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Dani García,8,Athletic Club,1,2,0,0,0,3,33.33,66.67,0.0,0.0,0.0
Dani García,9,Athletic Club,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
